DATE,MONTH,DAY,TAVG
1/1/2014,1,1,54
1/2/2014,1,2,60
1/3/2014,1,3,44
1/4/2014,1,4,43
1/5/2014,1,5,60
1/6/2014,1,6,57
1/7/2014,1,7,34
1/8/2014,1,8,38
1/9/2014,1,9,53
1/10/2014,1,10,67
1/11/2014,1,11,70
1/12/2014,1,12,59
1/13/2014,1,13,54
1/14/2014,1,14,63
1/15/2014,1,15,51
1/16/2014,1,16,45
1/17/2014,1,17,44
1/18/2014,1,18,47
1/19/2014,1,19,44
1/20/2014,1,20,51
1/21/2014,1,21,56
1/22/2014,1,22,43
1/23/2014,1,23,40
1/24/2014,1,24,41
1/25/2014,1,25,47
1/26/2014,1,26,53
1/27/2014,1,27,59
1/28/2014,1,28,59
1/29/2014,1,29,42
1/30/2014,1,30,38
1/31/2014,1,31,47
2/1/2014,2,1,61
2/2/2014,2,2,66
2/3/2014,2,3,70
2/4/2014,2,4,66
2/5/2014,2,5,70
2/6/2014,2,6,55
2/7/2014,2,7,49
2/8/2014,2,8,51
2/9/2014,2,9,53
2/10/2014,2,10,54
2/11/2014,2,11,56
2/12/2014,2,12,51
2/13/2014,2,13,49
2/14/2014,2,14,47
2/15/2014,2,15,54
2/16/2014,2,16,50
2/17/2014,2,17,55
2/18/2014,2,18,58
2/19/2014,2,19,66
2/20/2014,2,20,64
2/21/2014,2,21,68
2/22/2014,2,22,67
2/23/2014,2,23,58
2/24/2014,2,24,62
2/25/2014,2,25,65
2/26/2014,2,26,59
2/27/2014,2,27,52
2/28/2014,2,28,50
3/1/2014,3,1,55
3/2/2014,3,2,59
3/3/2014,3,3,64
3/4/2014,3,4,60
3/5/2014,3,5,48
3/6/2014,3,6,52
3/7/2014,3,7,46
3/8/2014,3,8,51
3/9/2014,3,9,57
3/10/2014,3,10,63
3/11/2014,3,11,64
3/12/2014,3,12,69
3/13/2014,3,13,56
3/14/2014,3,14,52
3/15/2014,3,15,60
3/16/2014,3,16,67
3/17/2014,3,17,62
3/18/2014,3,18,61
3/19/2014,3,19,59
3/20/2014,3,20,62
3/21/2014,3,21,64
3/22/2014,3,22,69
3/23/2014,3,23,67
3/24/2014,3,24,63
3/25/2014,3,25,62
3/26/2014,3,26,51
3/27/2014,3,27,54
3/28/2014,3,28,65
3/29/2014,3,29,68
3/30/2014,3,30,62
3/31/2014,3,31,60
4/1/2014,4,1,62
4/2/2014,4,2,65
4/3/2014,4,3,68
4/4/2014,4,4,69
4/5/2014,4,5,71
4/6/2014,4,6,73
4/7/2014,4,7,73
4/8/2014,4,8,71
4/9/2014,4,9,62
4/10/2014,4,10,63
4/11/2014,4,11,66
4/12/2014,4,12,70
4/13/2014,4,13,69
4/14/2014,4,14,72
4/15/2014,4,15,70
4/16/2014,4,16,55
4/17/2014,4,17,62
4/18/2014,4,18,67
4/19/2014,4,19,66
4/20/2014,4,20,60
4/21/2014,4,21,63
4/22/2014,4,22,65
4/23/2014,4,23,70
4/24/2014,4,24,73
4/25/2014,4,25,72
4/26/2014,4,26,75
4/27/2014,4,27,74
4/28/2014,4,28,77
4/29/2014,4,29,73
4/30/2014,4,30,73
5/1/2014,5,1,74
5/2/2014,5,2,66
5/3/2014,5,3,63
5/4/2014,5,4,67
5/5/2014,5,5,73
5/6/2014,5,6,74
5/7/2014,5,7,74
5/8/2014,5,8,77
5/9/2014,5,9,78
5/10/2014,5,10,77
5/11/2014,5,11,75
5/12/2014,5,12,75
5/13/2014,5,13,76
5/14/2014,5,14,75
5/15/2014,5,15,74
5/16/2014,5,16,67
5/17/2014,5,17,66
5/18/2014,5,18,67
5/19/2014,5,19,72
5/20/2014,5,20,72
5/21/2014,5,21,71
5/22/2014,5,22,77
5/23/2014,5,23,79
5/24/2014,5,24,81
5/25/2014,5,25,77
5/26/2014,5,26,74
5/27/2014,5,27,76
5/28/2014,5,28,74
5/29/2014,5,29,75
5/30/2014,5,30,75
5/31/2014,5,31,74
6/1/2014,6,1,75
6/2/2014,6,2,75
6/3/2014,6,3,73
6/4/2014,6,4,74
6/5/2014,6,5,76
6/6/2014,6,6,79
6/7/2014,6,7,78
6/8/2014,6,8,78
6/9/2014,6,9,78
6/10/2014,6,10,78
6/11/2014,6,11,73
6/12/2014,6,12,75
6/13/2014,6,13,76
6/14/2014,6,14,76
6/15/2014,6,15,76
6/16/2014,6,16,75
6/17/2014,6,17,77
6/18/2014,6,18,78
6/19/2014,6,19,79
6/20/2014,6,20,81
6/21/2014,6,21,78
6/22/2014,6,22,79
6/23/2014,6,23,76
6/24/2014,6,24,77
6/25/2014,6,25,80
6/26/2014,6,26,82
6/27/2014,6,27,83
6/28/2014,6,28,84
6/29/2014,6,29,83
6/30/2014,6,30,81
7/1/2014,7,1,82
7/2/2014,7,2,81
7/3/2014,7,3,81
7/4/2014,7,4,76
7/5/2014,7,5,78
7/6/2014,7,6,75
7/7/2014,7,7,77
7/8/2014,7,8,78
7/9/2014,7,9,79
7/10/2014,7,10,79
7/11/2014,7,11,78
7/12/2014,7,12,74
7/13/2014,7,13,77
7/14/2014,7,14,77
7/15/2014,7,15,76
7/16/2014,7,16,77
7/17/2014,7,17,79
7/18/2014,7,18,81
7/19/2014,7,19,80
7/20/2014,7,20,79
