DATE,MONTH,DAY,TAVG-3,TAVG-2,TAVG-1,TAVG,TAVG+1,TAVG+2,TAVG+3
1/1/2014,1,1,54,54,54,54,60,44,43
1/2/2014,1,2,54,54,54,60,44,43,60
1/3/2014,1,3,54,54,60,44,43,60,57
1/4/2014,1,4,54,60,44,43,60,57,34
1/5/2014,1,5,60,44,43,60,57,34,38
1/6/2014,1,6,44,43,60,57,34,38,53
1/7/2014,1,7,43,60,57,34,38,53,67
1/8/2014,1,8,60,57,34,38,53,67,70
1/9/2014,1,9,57,34,38,53,67,70,59
1/10/2014,1,10,34,38,53,67,70,59,54
1/11/2014,1,11,38,53,67,70,59,54,63
1/12/2014,1,12,53,67,70,59,54,63,51
1/13/2014,1,13,67,70,59,54,63,51,45
1/14/2014,1,14,70,59,54,63,51,45,44
1/15/2014,1,15,59,54,63,51,45,44,47
1/16/2014,1,16,54,63,51,45,44,47,44
1/17/2014,1,17,63,51,45,44,47,44,51
1/18/2014,1,18,51,45,44,47,44,51,56
1/19/2014,1,19,45,44,47,44,51,56,43
1/20/2014,1,20,44,47,44,51,56,43,40
1/21/2014,1,21,47,44,51,56,43,40,41
1/22/2014,1,22,44,51,56,43,40,41,47
1/23/2014,1,23,51,56,43,40,41,47,53
1/24/2014,1,24,56,43,40,41,47,53,59
1/25/2014,1,25,43,40,41,47,53,59,59
1/26/2014,1,26,40,41,47,53,59,59,42
1/27/2014,1,27,41,47,53,59,59,42,38
1/28/2014,1,28,47,53,59,59,42,38,47
1/29/2014,1,29,53,59,59,42,38,47,61
1/30/2014,1,30,59,59,42,38,47,61,66
1/31/2014,1,31,59,42,38,47,61,66,70
2/1/2014,2,1,42,38,47,61,66,70,66
2/2/2014,2,2,38,47,61,66,70,66,70
2/3/2014,2,3,47,61,66,70,66,70,55
2/4/2014,2,4,61,66,70,66,70,55,49
2/5/2014,2,5,66,70,66,70,55,49,51
2/6/2014,2,6,70,66,70,55,49,51,53
2/7/2014,2,7,66,70,55,49,51,53,54
2/8/2014,2,8,70,55,49,51,53,54,56
2/9/2014,2,9,55,49,51,53,54,56,51
