DATE,TAVG,TMAX,TMIN
1/1/2022,71,83,63
1/2/2022,73,84,68
1/3/2022,60,75,41
1/4/2022,52,71,39
1/5/2022,57,68,44
1/6/2022,54,70,41
1/7/2022,61,67,42
1/8/2022,56,75,39
1/9/2022,64,81,50
1/10/2022,65,72,51
1/11/2022,52,64,40
1/12/2022,55,72,45
1/13/2022,57,68,46
1/14/2022,53,66,41
1/15/2022,51,70,35
1/16/2022,59,63,45
1/17/2022,49,59,38
1/18/2022,45,63,32
1/19/2022,49,70,33
1/20/2022,58,77,42
1/21/2022,58,63,46
1/22/2022,44,46,38
1/23/2022,40,52,32
1/24/2022,42,60,27
1/25/2022,50,59,45
1/26/2022,52,60,49
1/27/2022,55,63,49
1/28/2022,52,62,47
1/29/2022,43,47,26
1/30/2022,38,58,22
1/31/2022,50,70,33
2/1/2022,51,71,35
2/2/2022,59,79,41
2/3/2022,65,82,49
2/4/2022,69,83,55
2/5/2022,57,62,48
2/6/2022,49,51,46
2/7/2022,47,53,44
2/8/2022,49,51,46
2/9/2022,50,65,36
2/10/2022,50,69,32
2/11/2022,55,74,39
2/12/2022,60,76,48
2/13/2022,62,71,46
2/14/2022,49,63,35
2/15/2022,49,68,32
2/16/2022,59,77,43
2/17/2022,68,85,55
2/18/2022,72,81,66
2/19/2022,64,69,40
2/20/2022,54,76,34
2/21/2022,63,81,48
2/22/2022,69,84,55
2/23/2022,70,86,58
2/24/2022,70,85,57
2/25/2022,72,87,58
2/26/2022,70,86,55
2/27/2022,71,86,61
2/28/2022,62,65,50
3/1/2022,60,75,46
3/2/2022,59,79,39
3/3/2022,61,83,41
3/4/2022,64,85,46
3/5/2022,70,84,58
3/6/2022,71,87,57
3/7/2022,73,87,60
3/8/2022,73,87,63
3/9/2022,73,85,65
3/10/2022,66,71,62
3/11/2022,65,69,60
3/12/2022,65,73,40
3/13/2022,45,60,33
3/14/2022,57,75,44
3/15/2022,63,70,57
3/16/2022,68,79,61
3/17/2022,67,80,54
3/18/2022,69,87,54
3/19/2022,71,85,61
3/20/2022,67,75,47
3/21/2022,60,79,42
3/22/2022,67,83,52
3/23/2022,72,80,67
3/24/2022,66,70,59
3/25/2022,63,75,51
3/26/2022,61,76,48
3/27/2022,63,78,48
3/28/2022,67,83,55
3/29/2022,69,85,57
3/30/2022,71,87,58
3/31/2022,71,78,65
4/1/2022,71,83,59
4/2/2022,62,67,56
4/3/2022,65,79,54
4/4/2022,65,83,50
4/5/2022,74,88,63
4/6/2022,77,84,73
4/7/2022,77,83,62
4/8/2022,63,72,51
4/9/2022,58,66,42
4/10/2022,56,75,39
4/11/2022,62,82,44
4/12/2022,70,84,58
4/13/2022,71,84,57
4/14/2022,72,83,63
4/15/2022,74,84,64
4/16/2022,73,88,61
4/17/2022,74,88,67
4/18/2022,73,85,64
4/19/2022,66,75,50
4/20/2022,62,78,45
4/21/2022,68,80,56
4/22/2022,69,81,60
4/23/2022,69,82,56
4/24/2022,71,85,58
4/25/2022,73,86,59
4/26/2022,74,87,61
4/27/2022,74,87,64
4/28/2022,73,83,59
4/29/2022,69,83,56
4/30/2022,72,85,61
5/1/2022,73,87,59
5/2/2022,74,87,62
5/3/2022,76,87,67
