DATE,MONTH,DAY,SEASON,TAVG,TMAX,TMIN
1/1/2021,1,1,WINTER,72,83,64
1/2/2021,1,2,WINTER,71,78,62
1/3/2021,1,3,WINTER,66,70,42
1/4/2021,1,4,WINTER,50,64,38
1/5/2021,1,5,WINTER,50,69,36
1/6/2021,1,6,WINTER,49,65,33
1/7/2021,1,7,WINTER,54,70,40
1/8/2021,1,8,WINTER,54,59,47
1/9/2021,1,9,WINTER,45,47,36
1/10/2021,1,10,WINTER,43,55,39
1/11/2021,1,11,WINTER,54,72,42
1/12/2021,1,12,WINTER,58,64,49
1/13/2021,1,13,WINTER,48,52,43
1/14/2021,1,14,WINTER,47,61,32
1/15/2021,1,15,WINTER,51,72,37
1/16/2021,1,16,WINTER,49,59,35
1/17/2021,1,17,WINTER,42,58,29
1/18/2021,1,18,WINTER,48,63,33
1/19/2021,1,19,WINTER,46,66,31
1/20/2021,1,20,WINTER,49,71,32
1/21/2021,1,21,WINTER,58,75,46
1/22/2021,1,22,WINTER,65,71,60
1/23/2021,1,23,WINTER,61,65,55
1/24/2021,1,24,WINTER,59,69,55
1/25/2021,1,25,WINTER,67,80,60
1/26/2021,1,26,WINTER,67,79,57
1/27/2021,1,27,WINTER,67,73,57
1/28/2021,1,28,WINTER,56,65,35
1/29/2021,1,29,WINTER,45,63,32
1/30/2021,1,30,WINTER,48,68,32
1/31/2021,1,31,WINTER,61,75,49
2/1/2021,2,1,WINTER,56,67,42
2/2/2021,2,2,WINTER,44,53,36
2/3/2021,2,3,WINTER,43,57,30
2/4/2021,2,4,WINTER,43,66,26
2/5/2021,2,5,WINTER,53,65,43
2/6/2021,2,6,WINTER,53,59,47
2/7/2021,2,7,WINTER,62,68,46
2/8/2021,2,8,WINTER,56,72,46
2/9/2021,2,9,WINTER,65,71,59
2/10/2021,2,10,WINTER,66,82,56
2/11/2021,2,11,WINTER,69,83,60
2/12/2021,2,12,WINTER,69,83,60
2/13/2021,2,13,WINTER,65,77,59
2/14/2021,2,14,WINTER,63,70,58
2/15/2021,2,15,WINTER,64,77,56
2/16/2021,2,16,WINTER,64,68,49
2/17/2021,2,17,WINTER,52,61,44
2/18/2021,2,18,WINTER,70,87,57
2/19/2021,2,19,WINTER,65,74,47
2/20/2021,2,20,WINTER,50,64,40
2/21/2021,2,21,WINTER,54,71,37
2/22/2021,2,22,WINTER,61,79,49
2/23/2021,2,23,WINTER,65,73,46
2/24/2021,2,24,WINTER,58,78,42
2/25/2021,2,25,WINTER,60,80,42
2/26/2021,2,26,WINTER,66,83,51
2/27/2021,2,27,WINTER,70,86,56
2/28/2021,2,28,WINTER,74,87,64
3/1/2021,3,1,WINTER,73,85,62
3/2/2021,3,2,WINTER,62,65,57
3/3/2021,3,3,WINTER,57,63,48
3/4/2021,3,4,WINTER,58,74,45
3/5/2021,3,5,WINTER,58,75,41
3/6/2021,3,6,WINTER,56,58,49
3/7/2021,3,7,WINTER,53,67,40
3/8/2021,3,8,WINTER,52,67,36
3/9/2021,3,9,WINTER,55,74,38
3/10/2021,3,10,WINTER,60,77,43
3/11/2021,3,11,WINTER,62,80,45
3/12/2021,3,12,WINTER,64,80,48
3/13/2021,3,13,WINTER,66,83,49
3/14/2021,3,14,WINTER,67,85,52
3/15/2021,3,15,WINTER,69,86,53
3/16/2021,3,16,WINTER,73,85,64
3/17/2021,3,17,WINTER,73,88,60
3/18/2021,3,18,WINTER,69,79,60
3/19/2021,3,19,WINTER,61,69,50
3/20/2021,3,20,WINTER,57,62,51
3/21/2021,3,21,SPRING,52,58,48
3/22/2021,3,22,SPRING,61,73,55
3/23/2021,3,23,SPRING,65,79,54
3/24/2021,3,24,SPRING,66,81,53
3/25/2021,3,25,SPRING,71,91,54
3/26/2021,3,26,SPRING,75,89,62
3/27/2021,3,27,SPRING,76,90,63
3/28/2021,3,28,SPRING,72,86,58
3/29/2021,3,29,SPRING,70,75,61
3/30/2021,3,30,SPRING,69,86,60
3/31/2021,3,31,SPRING,74,87,65
4/1/2021,4,1,SPRING,65,67,49
4/2/2021,4,2,SPRING,52,63,36
4/3/2021,4,3,SPRING,51,69,35
4/4/2021,4,4,SPRING,57,74,40
4/5/2021,4,5,SPRING,60,78,44
4/6/2021,4,6,SPRING,63,80,47
4/7/2021,4,7,SPRING,65,82,48
4/8/2021,4,8,SPRING,66,81,50
4/9/2021,4,9,SPRING,67,83,54
4/10/2021,4,10,SPRING,71,85,55
4/11/2021,4,11,SPRING,61,67,53
4/12/2021,4,12,SPRING,70,83,59
4/13/2021,4,13,SPRING,71,89,55
4/14/2021,4,14,SPRING,72,87,59
4/15/2021,4,15,SPRING,71,79,61
4/16/2021,4,16,SPRING,68,75,62
4/17/2021,4,17,SPRING,67,80,61
4/18/2021,4,18,SPRING,69,77,65
4/19/2021,4,19,SPRING,69,78,56
4/20/2021,4,20,SPRING,67,77,55
4/21/2021,4,21,SPRING,71,84,59
4/22/2021,4,22,SPRING,63,75,50
4/23/2021,4,23,SPRING,63,79,47
4/24/2021,4,24,SPRING,72,87,61
4/25/2021,4,25,SPRING,76,83,61
4/26/2021,4,26,SPRING,69,83,54
4/27/2021,4,27,SPRING,71,82,59
4/28/2021,4,28,SPRING,72,84,59
4/29/2021,4,29,SPRING,73,88,59
4/30/2021,4,30,SPRING,73,88,63
5/1/2021,5,1,SPRING,75,86,59
5/2/2021,5,2,SPRING,73,86,63
5/3/2021,5,3,SPRING,76,92,63
5/4/2021,5,4,SPRING,79,93,66
5/5/2021,5,5,SPRING,79,92,64
5/6/2021,5,6,SPRING,75,81,68
5/7/2021,5,7,SPRING,71,80,54
5/8/2021,5,8,SPRING,65,81,47
5/9/2021,5,9,SPRING,71,89,53
5/10/2021,5,10,SPRING,76,88,64
5/11/2021,5,11,SPRING,73,83,66
5/12/2021,5,12,SPRING,77,92,67
5/13/2021,5,13,SPRING,66,71,60
5/14/2021,5,14,SPRING,67,80,57
5/15/2021,5,15,SPRING,65,80,47
5/16/2021,5,16,SPRING,67,82,49
5/17/2021,5,17,SPRING,70,85,55
5/18/2021,5,18,SPRING,73,87,60
5/19/2021,5,19,SPRING,72,83,62
5/20/2021,5,20,SPRING,74,84,63
5/21/2021,5,21,SPRING,72,85,58
5/22/2021,5,22,SPRING,73,87,58
5/23/2021,5,23,SPRING,72,89,55
5/24/2021,5,24,SPRING,75,91,59
5/25/2021,5,25,SPRING,77,92,60
5/26/2021,5,26,SPRING,78,92,62
5/27/2021,5,27,SPRING,78,94,63
5/28/2021,5,28,SPRING,80,92,65
5/29/2021,5,29,SPRING,78,91,64
5/30/2021,5,30,SPRING,77,89,68
5/31/2021,5,31,SPRING,76,88,65
6/1/2021,6,1,SPRING,75,90,61
6/2/2021,6,2,SPRING,76,89,64
6/3/2021,6,3,SPRING,78,90,71
6/4/2021,6,4,SPRING,76,89,68
6/5/2021,6,5,SPRING,78,90,70
6/6/2021,6,6,SPRING,81,93,72
6/7/2021,6,7,SPRING,78,86,73
6/8/2021,6,8,SPRING,81,92,72
6/9/2021,6,9,SPRING,80,92,72
6/10/2021,6,10,SPRING,79,92,71
6/11/2021,6,11,SPRING,81,94,70
6/12/2021,6,12,SPRING,79,89,73
6/13/2021,6,13,SPRING,78,91,72
6/14/2021,6,14,SPRING,75,84,69
6/15/2021,6,15,SPRING,76,93,68
6/16/2021,6,16,SPRING,77,89,69
6/17/2021,6,17,SPRING,79,88,71
6/18/2021,6,18,SPRING,79,91,73
6/19/2021,6,19,SPRING,81,91,74
6/20/2021,6,20,SPRING,79,85,74
6/21/2021,6,21,SUMMER,77,87,72
6/22/2021,6,22,SUMMER,75,85,72
6/23/2021,6,23,SUMMER,78,88,73
6/24/2021,6,24,SUMMER,75,85,68
6/25/2021,6,25,SUMMER,75,86,70
6/26/2021,6,26,SUMMER,75,89,70
6/27/2021,6,27,SUMMER,80,90,71
